timestamps,TP9,AF7,AF8,TP10,Right AUX
1587019717.834,35.156,39.551,33.203,25.879,63.477
1587019717.838,93.750,38.574,32.227,78.125,96.680
1587019717.842,72.754,41.504,36.621,69.824,62.988
1587019717.846,12.207,41.016,39.551,20.020,6.348
1587019717.850,16.602,36.133,39.062,17.578,-18.555
1587019717.854,80.078,32.715,38.086,68.359,25.879
1587019717.858,82.031,30.762,40.527,75.195,9.766
1587019717.862,20.508,35.156,43.945,20.996,-25.879
1587019717.865,5.371,33.691,41.016,-6.348,16.113
1587019717.869,55.664,32.715,37.598,37.109,56.152
1587019717.873,89.844,37.598,37.598,73.730,79.102
1587019717.877,43.457,37.598,40.039,36.621,48.828
1587019717.881,0.000,36.621,38.574,-4.395,-16.602
1587019717.885,40.039,35.156,36.621,22.949,10.742
1587019717.889,69.336,31.250,34.668,68.359,44.922
1587019717.893,29.785,34.668,34.668,47.363,30.762
1587019717.897,-13.672,36.621,36.133,0.000,66.406
1587019717.901,16.113,33.203,32.227,11.719,55.176
1587019717.905,81.055,32.715,31.250,67.383,-9.766
1587019717.908,67.871,34.180,36.133,69.824,22.949
1587019717.912,14.160,35.156,39.551,20.020,74.219
1587019717.916,19.531,34.668,37.598,14.160,10.254
1587019717.920,74.707,34.668,34.668,65.430,6.836
1587019717.924,83.984,35.156,33.691,78.613,16.113
1587019717.928,21.484,34.668,36.133,23.926,51.270
1587019717.932,-0.488,35.645,36.133,-8.789,56.641
1587019717.936,62.500,34.180,33.203,33.691,24.902
1587019717.940,88.867,31.250,30.273,70.312,22.461
1587019717.944,38.086,36.133,35.156,35.645,19.531
1587019717.947,-5.859,37.109,37.109,-3.906,22.949
1587019717.951,26.855,33.691,31.250,16.602,62.012
1587019717.955,83.008,32.715,29.785,60.547,31.738
1587019717.959,56.152,35.645,31.250,46.875,-13.672
1587019717.963,-1.953,36.133,33.691,2.930,22.461
1587019717.967,15.137,32.227,35.156,11.719,55.664
1587019717.971,77.148,31.250,33.691,66.895,32.227
1587019717.975,72.754,35.156,35.156,74.219,31.738
1587019717.979,8.789,35.645,35.645,24.902,37.598
1587019717.983,8.301,33.691,35.645,12.695,19.531
1587019717.987,68.848,33.203,35.645,63.477,29.785
1587019717.990,65.918,31.738,33.691,83.984,39.062
1587019717.994,4.883,33.691,34.668,34.180,43.457
1587019717.998,-4.883,34.180,35.645,1.953,0.488
1587019718.002,56.641,32.227,29.785,42.480,40.527
1587019718.006,88.379,35.645,28.320,79.590,14.160
1587019718.010,28.809,36.133,32.227,44.434,-33.203
1587019718.014,-0.977,34.180,31.250,2.441,-15.625
